Gene.name	Karyotype.band	Strand	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Gene.type	Gene.description
RNU6-444P	q15	Plus	chr6	87488445	87488552	Non-protein coding RNA	R U6 Small Nuclear 444, Pseudogene
RNU6-445P	q21.13	Plus	chr9	74857675	74857781	Non-protein coding RNA	R U6 Small Nuclear 445, Pseudogene
RNU6-446P	q23.2	Plus	chr17	62683905	62684010	Non-protein coding RNA	R U6 Small Nuclear 446, Pseudogene
RNU6-447P	p15.5	Minus	chr11	152999	153102	Non-protein coding RNA	R U6 Small Nuclear 447, Pseudogene
RNU6-448P	q14.3	Plus	chr5	84196883	84196989	Non-protein coding RNA	R U6 Small Nuclear 448, Pseudogene
RNU6-449P	q21.3	Plus	chr15	53764204	53764310	Non-protein coding RNA	R U6 Small Nuclear 449, Pseudogene
RNU6-44P	q23.1	Minus	chr11	112352556	112352662	Non-protein coding RNA	R U6 Small Nuclear 44, Pseudogene
RNU6-450P	q23.1	Minus	chr17	59847438	59847544	Non-protein coding RNA	R U6 Small Nuclear 450, Pseudogene
RNU6-451P	q37.1	Plus	chr2	230587121	230587227	Non-protein coding RNA	R U6 Small Nuclear 451, Pseudogene
RNU6-452P	p12.1	Minus	chr10	27335501	27335607	Non-protein coding RNA	R U6 Small Nuclear 452, Pseudogene
RNU6-453P	q21.31	Plus	chr17	44307088	44307172	Non-protein coding RNA	R U6 Small Nuclear 453, Pseudogene
RNU6-454P	p25.1	Plus	chr3	15339749	15339855	Non-protein coding RNA	R U6 Small Nuclear 454, Pseudogene
RNU6-455P	q12	Minus	chr14	31686692	31686798	Non-protein coding RNA	R U6 Small Nuclear 455, Pseudogene
RNU6-456P	q31.1	Minus	chr5	134500178	134500284	Non-protein coding RNA	R U6 Small Nuclear 456, Pseudogene
RNU6-457P	p13.3	Plus	chr16	6873899	6874005	Non-protein coding RNA	R U6 Small Nuclear 457, Pseudogene
RNU6-458P	q11.2	Plus	chr14	18343038	18343144	Non-protein coding RNA	R U6 Small Nuclear 458, Pseudogene
RNU6-45P	q13.1	Plus	chr11	63970470	63970576	Non-protein coding RNA	R U6 Small Nuclear 45, Pseudogene
RNU6-460P	q31.2	Plus	chr5	138116573	138116680	Non-protein coding RNA	R U6 Small Nuclear 460, Pseudogene
RNU6-461P	q12.3	Minus	chr3	102755064	102755170	Non-protein coding RNA	R U6 Small Nuclear 461, Pseudogene
RNU6-462P	q24	Plus	chr4	101723876	101723980	Non-protein coding RNA	R U6 Small Nuclear 462, Pseudogene
RNU6-463P	q25.1	Plus	chr10	105534659	105534765	Non-protein coding RNA	R U6 Small Nuclear 463, Pseudogene
RNU6-464P	p12.1	Minus	chr6	53153795	53153898	Non-protein coding RNA	R U6 Small Nuclear 464, Pseudogene
RNU6-465P	p12	Plus	chr1	120126974	120127074	Non-protein coding RNA	R U6 Small Nuclear 465, Pseudogene
RNU6-466P	q13.3	Minus	chr15	30956248	30956350	Non-protein coding RNA	R U6 Small Nuclear 466, Pseudogene
RNU6-467P	p11.2	Plus	chr17	20323001	20323110	Non-protein coding RNA	R U6 Small Nuclear 467, Pseudogene
RNU6-468P	p11.2	Plus	chr17	17578631	17578739	Non-protein coding RNA	R U6 Small Nuclear 468, Pseudogene
RNU6-469P	q21.23	Minus	chr4	84886386	84886486	Non-protein coding RNA	R U6 Small Nuclear 469, Pseudogene
RNU6-46P	q13.2	Plus	chr11	67895631	67895737	Non-protein coding RNA	R U6 Small Nuclear 46, Pseudogene
RNU6-470P	q21.31	Plus	chr17	43412427	43412530	Non-protein coding RNA	R U6 Small Nuclear 470, Pseudogene
RNU6-471P	p22.1	Plus	chr6	27596412	27596517	Non-protein coding RNA	R U6 Small Nuclear 471, Pseudogene
RNU6-472P	p11.1	Minus	chr12	33923374	33923480	Non-protein coding RNA	R U6 Small Nuclear 472, Pseudogene
RNU6-473P	q21.1	Minus	chr2	130497743	130497849	Non-protein coding RNA	R U6 Small Nuclear 473, Pseudogene
RNU6-474P	q33.2	Plus	chr2	203782037	203782143	Non-protein coding RNA	R U6 Small Nuclear 474, Pseudogene
RNU6-475P	q22.1	Minus	chr6	114866873	114866976	Non-protein coding RNA	R U6 Small Nuclear 475, Pseudogene
RNU6-476P	q13.2	Plus	chr22	41679711	41679817	Non-protein coding RNA	R U6 Small Nuclear 476, Pseudogene
RNU6-477P	q35.1	Plus	chr5	169552449	169552555	Non-protein coding RNA	R U6 Small Nuclear 477, Pseudogene
RNU6-478P	q23.1	Minus	chr10	83067962	83068071	Non-protein coding RNA	R U6 Small Nuclear 478, Pseudogene
RNU6-479P	q35.1	Minus	chr4	183653572	183653676	Non-protein coding RNA	R U6 Small Nuclear 479, Pseudogene
RNU6-47P	q21.3	Minus	chr5	109014834	109014940	Non-protein coding RNA	R U6 Small Nuclear 47, Pseudogene
RNU6-480P	q11.1	Minus	chr5	51055353	51055459	Non-protein coding RNA	R U6 Small Nuclear 480, Pseudogene
RNU6-481P	q23.3	Plus	chr1	161401289	161401395	Non-protein coding RNA	R U6 Small Nuclear 481, Pseudogene
RNU6-482P	q22.2	Plus	chr5	112778363	112778469	Non-protein coding RNA	R U6 Small Nuclear 482, Pseudogene
RNU6-483P	p14.3	Plus	chr3	57548838	57548945	Non-protein coding RNA	R U6 Small Nuclear 483, Pseudogene
RNU6-484P	p13.2	Minus	chr5	37700331	37700437	Non-protein coding RNA	R U6 Small Nuclear 484, Pseudogene
RNU6-485P	p13.31	Plus	chr12	7118785	7118891	Non-protein coding RNA	R U6 Small Nuclear 485, Pseudogene
RNU6-486P	q26.33	Plus	chr3	180581057	180581163	Non-protein coding RNA	R U6 Small Nuclear 486, Pseudogene
RNU6-487P	q32.1	Minus	chr1	203318996	203319099	Non-protein coding RNA	R U6 Small Nuclear 487, Pseudogene
RNU6-488P	q11.1	Plus	chr3	93843764	93843862	Non-protein coding RNA	R U6 Small Nuclear 488, Pseudogene
RNU6-489P	q12	Plus	chr17	37907957	37908063	Non-protein coding RNA	R U6 Small Nuclear 489, Pseudogene
RNU6-48P	p36.11	Plus	chr1	27325219	27325325	Non-protein coding RNA	R U6 Small Nuclear 48, Pseudogene
RNU6-490P	p12.1	Minus	chr10	27088321	27088427	Non-protein coding RNA	R U6 Small Nuclear 490, Pseudogene
RNU6-491P	p13.1	Minus	chr12	14250232	14250341	Non-protein coding RNA	R U6 Small Nuclear 491, Pseudogene
RNU6-492P	q31.2	Minus	chr9	107475036	107475139	Non-protein coding RNA	R U6 Small Nuclear 492, Pseudogene
RNU6-493P	q21.1	Plus	chrX	80900757	80900864	Non-protein coding RNA	R U6 Small Nuclear 493, Pseudogene
RNU6-494P	p11.21	Minus	chr12	32477382	32477471	Non-protein coding RNA	R U6 Small Nuclear 494, Pseudogene
RNU6-495P	q13.2	Minus	chr22	41377177	41377283	Non-protein coding RNA	R U6 Small Nuclear 495, Pseudogene
RNU6-496P	q23	Minus	chrX	111421510	111421608	Non-protein coding RNA	R U6 Small Nuclear 496, Pseudogene
RNU6-497P	q13.12	Minus	chr20	47484278	47484381	Non-protein coding RNA	R U6 Small Nuclear 497, Pseudogene
RNU6-498P	q11.2	Plus	chr15	20738679	20738785	Non-protein coding RNA	R U6 Small Nuclear 498, Pseudogene
RNU6-499P	q21.22	Plus	chr4	82174547	82174653	Non-protein coding RNA	R U6 Small Nuclear 499, Pseudogene
RNU6-49P	p11.4	Plus	chrX	37870109	37870215	Non-protein coding RNA	R U6 Small Nuclear 49, Pseudogene
RNU6-4P	q26.33	Plus	chr3	181231737	181231843	Non-protein coding RNA	R U6 Small Nuclear 4, Pseudogene
RNU6-500P	q35.2	Minus	chr5	173362134	173362240	Non-protein coding RNA	R U6 Small Nuclear 500, Pseudogene
RNU6-501P	q32.1	Plus	chr1	201733406	201733505	Non-protein coding RNA	R U6 Small Nuclear 501, Pseudogene
RNU6-502P	p22.2	Minus	chr6	26519351	26519458	Non-protein coding RNA	R U6 Small Nuclear 502, Pseudogene
RNU6-503P	p31.1	Minus	chr1	75538015	75538119	Non-protein coding RNA	R U6 Small Nuclear 503, Pseudogene
RNU6-504P	p11.22	Minus	chrX	51870706	51870809	Non-protein coding RNA	R U6 Small Nuclear 504, Pseudogene
RNU6-505P	q24	Minus	chr3	146996607	146996713	Non-protein coding RNA	R U6 Small Nuclear 505, Pseudogene
RNU6-506P	q31.1	Minus	chr4	139231026	139231119	Non-protein coding RNA	R U6 Small Nuclear 506, Pseudogene
RNU6-507P	q25.1	Minus	chr3	149779009	149779108	Non-protein coding RNA	R U6 Small Nuclear 507, Pseudogene
RNU6-508P	p16.1	Plus	chr2	59647621	59647723	Non-protein coding RNA	R U6 Small Nuclear 508, Pseudogene
RNU6-509P	q23	Minus	chr3	141902924	141903030	Non-protein coding RNA	R U6 Small Nuclear 509, Pseudogene
RNU6-50P	p11.3	Plus	chrX	46517766	46517868	Non-protein coding RNA	R U6 Small Nuclear 50, Pseudogene
RNU6-510P	p34.3	Plus	chr1	37991462	37991569	Non-protein coding RNA	R U6 Small Nuclear 510, Pseudogene
RNU6-511P	q11.1	Plus	chr3	93977029	93977135	Non-protein coding RNA	R U6 Small Nuclear 511, Pseudogene
RNU6-512P	q21.3	Minus	chr2	135656477	135656579	Non-protein coding RNA	R U6 Small Nuclear 512, Pseudogene
RNU6-513P	q13.2	Minus	chr22	42569147	42569250	Non-protein coding RNA	R U6 Small Nuclear 513, Pseudogene
RNU6-514P	p36.12	Plus	chr1	23162704	23162810	Non-protein coding RNA	R U6 Small Nuclear 514, Pseudogene
RNU6-516P	q15.1	Plus	chr15	40529570	40529673	Non-protein coding RNA	R U6 Small Nuclear 516, Pseudogene
RNU6-517P	q31.31	Minus	chr7	121194948	121195057	Non-protein coding RNA	R U6 Small Nuclear 517, Pseudogene
RNU6-518P	q22	Plus	chr17	58835899	58835994	Non-protein coding RNA	R U6 Small Nuclear 518, Pseudogene
RNU6-519P	q11.21	Plus	chr8	47979414	47979521	Non-protein coding RNA	R U6 Small Nuclear 519, Pseudogene
RNU6-520P	q13.3	Plus	chr4	70701755	70701858	Non-protein coding RNA	R U6 Small Nuclear 520, Pseudogene
RNU6-521P	p11.2	Minus	chrY	7423054	7423158	Non-protein coding RNA	R U6 Small Nuclear 521, Pseudogene
RNU6-522P	p22.3	Plus	chr6	15314920	15315026	Non-protein coding RNA	R U6 Small Nuclear 522, Pseudogene
RNU6-523P	q21.3	Minus	chr10	67858818	67858871	Non-protein coding RNA	R U6 Small Nuclear 523, Pseudogene
RNU6-524P	q15	Minus	chr5	96210121	96210227	Non-protein coding RNA	R U6 Small Nuclear 524, Pseudogene
RNU6-525P	q35.3	Plus	chr5	180444509	180444612	Non-protein coding RNA	R U6 Small Nuclear 525, Pseudogene
RNU6-526P	p23.1	Minus	chr8	10585066	10585171	Non-protein coding RNA	R U6 Small Nuclear 526, Pseudogene
RNU6-527P	q21	Plus	chr6	106607716	106607819	Non-protein coding RNA	R U6 Small Nuclear 527, Pseudogene
RNU6-528P	p12	Plus	chr8	33338867	33338966	Non-protein coding RNA	R U6 Small Nuclear 528, Pseudogene
RNU6-529P	q23.2	Minus	chr10	87041238	87041341	Non-protein coding RNA	R U6 Small Nuclear 529, Pseudogene
RNU6-530P	q21.11	Minus	chr7	79343266	79343372	Non-protein coding RNA	R U6 Small Nuclear 530, Pseudogene
RNU6-531P	q31.1	Plus	chr4	139055475	139055578	Non-protein coding RNA	R U6 Small Nuclear 531, Pseudogene
RNU6-532P	q21.3	Plus	chr7	96330638	96330744	Non-protein coding RNA	R U6 Small Nuclear 532, Pseudogene
RNU6-533P	p12	Minus	chr8	36309584	36309690	Non-protein coding RNA	R U6 Small Nuclear 533, Pseudogene
RNU6-534P	p21.3	Plus	chr7	7906519	7906624	Non-protein coding RNA	R U6 Small Nuclear 534, Pseudogene
RNU6-535P	p14	Minus	chr10	7486703	7486809	Non-protein coding RNA	R U6 Small Nuclear 535, Pseudogene
RNU6-536P	p34.2	Plus	chr1	42569033	42569139	Non-protein coding RNA	R U6 Small Nuclear 536, Pseudogene
RNU6-537P	p36.22	Plus	chr1	11152350	11152452	Non-protein coding RNA	R U6 Small Nuclear 537, Pseudogene
RNU6-538P	q21.11	Minus	chr9	66142221	66142327	Non-protein coding RNA	R U6 Small Nuclear 538, Pseudogene
RNU6-539P	q21.3	Plus	chr14	49839725	49839827	Non-protein coding RNA	R U6 Small Nuclear 539, Pseudogene
RNU6-53P	q12.3	Minus	chr13	28703702	28703807	Non-protein coding RNA	R U6 Small Nuclear 53, Pseudogene
RNU6-540P	q12.3	Minus	chr5	65604661	65604761	Non-protein coding RNA	R U6 Small Nuclear 540, Pseudogene
RNU6-541P	q12	Plus	chr14	31142939	31143048	Non-protein coding RNA	R U6 Small Nuclear 541, Pseudogene
RNU6-542P	p13.1	Plus	chr2	74319399	74319501	Non-protein coding RNA	R U6 Small Nuclear 542, Pseudogene
RNU6-543P	q21.3	Plus	chr10	63110139	63110246	Non-protein coding RNA	R U6 Small Nuclear 543, Pseudogene
RNU6-544P	q14.1	Plus	chr11	80527960	80528066	Non-protein coding RNA	R U6 Small Nuclear 544, Pseudogene
RNU6-545P	p13.2	Plus	chr12	12226674	12226777	Non-protein coding RNA	R U6 Small Nuclear 545, Pseudogene
RNU6-546P	q24.1	Plus	chr2	155330421	155330527	Non-protein coding RNA	R U6 Small Nuclear 546, Pseudogene
RNU6-547P	q26.31	Plus	chr3	172703124	172703225	Non-protein coding RNA	R U6 Small Nuclear 547, Pseudogene
RNU6-548P	p14	Plus	chr2	64994746	64994860	Non-protein coding RNA	R U6 Small Nuclear 548, Pseudogene
RNU6-549P	q22.31	Plus	chr15	64671263	64671369	Non-protein coding RNA	R U6 Small Nuclear 549, Pseudogene
RNU6-54P	q21.33	Plus	chr13	70459464	70459570	Non-protein coding RNA	R U6 Small Nuclear 54, Pseudogene
RNU6-550P	q27	Plus	chr4	120810469	120810569	Non-protein coding RNA	R U6 Small Nuclear 550, Pseudogene
RNU6-551P	q25	Plus	chr4	107435118	107435220	Non-protein coding RNA	R U6 Small Nuclear 551, Pseudogene
RNU6-552P	q21.2	Minus	chr14	45274359	45274477	Non-protein coding RNA	R U6 Small Nuclear 552, Pseudogene
RNU6-553P	q24	Plus	chr4	105406997	105407092	Non-protein coding RNA	R U6 Small Nuclear 553, Pseudogene
RNU6-554P	q15.3	Plus	chr15	43602543	43602648	Non-protein coding RNA	R U6 Small Nuclear 554, Pseudogene
RNU6-555P	q21.31	Minus	chrX	90597235	90597340	Non-protein coding RNA	R U6 Small Nuclear 555, Pseudogene
RNU6-556P	q33.3	Plus	chr5	156814130	156814234	Non-protein coding RNA	R U6 Small Nuclear 556, Pseudogene
RNU6-557P	p13	Minus	chr3	73092148	73092257	Non-protein coding RNA	R U6 Small Nuclear 557, Pseudogene
RNU6-558P	q24.22	Plus	chr12	116782105	116782208	Non-protein coding RNA	R U6 Small Nuclear 558, Pseudogene
RNU6-559P	p22.3	Plus	chr9	15143289	15143386	Non-protein coding RNA	R U6 Small Nuclear 559, Pseudogene
RNU6-55P	q11	Minus	chr13	18869185	18869291	Non-protein coding RNA	R U6 Small Nuclear 55, Pseudogene
RNU6-560P	q14.2	Plus	chr11	86153227	86153334	Non-protein coding RNA	R U6 Small Nuclear 560, Pseudogene
RNU6-561P	p12	Minus	chr2	79636862	79636963	Non-protein coding RNA	R U6 Small Nuclear 561, Pseudogene
RNU6-562P	q13.3	Plus	chrX	75202703	75202809	Non-protein coding RNA	R U6 Small Nuclear 562, Pseudogene
RNU6-563P	q13.12	Minus	chr20	47492978	47493085	Non-protein coding RNA	R U6 Small Nuclear 563, Pseudogene
RNU6-564P	q12.2	Plus	chr22	30421045	30421148	Non-protein coding RNA	R U6 Small Nuclear 564, Pseudogene
RNU6-565P	p14.1	Plus	chr7	37351143	37351242	Non-protein coding RNA	R U6 Small Nuclear 565, Pseudogene
RNU6-566P	p21	Minus	chr2	44154789	44154895	Non-protein coding RNA	R U6 Small Nuclear 566, Pseudogene
RNU6-567P	q21.32	Plus	chr18	60018625	60018731	Non-protein coding RNA	R U6 Small Nuclear 567, Pseudogene
RNU6-56P	q13.3	Plus	chr13	38779424	38779516	Non-protein coding RNA	R U6 Small Nuclear 56, Pseudogene
RNU6-570P	q32.1	Plus	chr1	200054061	200054165	Non-protein coding RNA	R U6 Small Nuclear 570, Pseudogene
RNU6-571P	q22.1	Minus	chr10	68911653	68911759	Non-protein coding RNA	R U6 Small Nuclear 571, Pseudogene
RNU6-572P	q31.2	Plus	chr5	139221758	139221837	Non-protein coding RNA	R U6 Small Nuclear 572, Pseudogene
RNU6-573P	p15.1	Plus	chr4	35495898	35496003	Non-protein coding RNA	R U6 Small Nuclear 573, Pseudogene
RNU6-574P	q13.13	Plus	chr12	51987657	51987763	Non-protein coding RNA	R U6 Small Nuclear 574, Pseudogene
RNU6-575P	p14.1	Minus	chr7	43207762	43207866	Non-protein coding RNA	R U6 Small Nuclear 575, Pseudogene
RNU6-576P	p15.3	Plus	chr10	2199387	2199488	Non-protein coding RNA	R U6 Small Nuclear 576, Pseudogene
RNU6-577P	p22.2	Minus	chr2	36867398	36867495	Non-protein coding RNA	R U6 Small Nuclear 577, Pseudogene
RNU6-578P	p15.33	Plus	chr4	12312588	12312690	Non-protein coding RNA	R U6 Small Nuclear 578, Pseudogene
RNU6-579P	q21.2	Plus	chr2	133333829	133333930	Non-protein coding RNA	R U6 Small Nuclear 579, Pseudogene
RNU6-57P	q14.11	Minus	chr13	41354557	41354659	Non-protein coding RNA	R U6 Small Nuclear 57, Pseudogene
RNU6-580P	q24.2	Minus	chr2	159027036	159027142	Non-protein coding RNA	R U6 Small Nuclear 580, Pseudogene
RNU6-581P	q31.31	Plus	chr7	120672871	120672975	Non-protein coding RNA	R U6 Small Nuclear 581, Pseudogene
RNU6-582P	q32.1	Minus	chr4	157201562	157201668	Non-protein coding RNA	R U6 Small Nuclear 582, Pseudogene
RNU6-583P	q28.1	Plus	chr4	127891991	127892082	Non-protein coding RNA	R U6 Small Nuclear 583, Pseudogene
RNU6-584P	p34.3	Plus	chr1	37885023	37885117	Non-protein coding RNA	R U6 Small Nuclear 584, Pseudogene
RNU6-586P	p31.3	Plus	chr1	67196140	67196243	Non-protein coding RNA	R U6 Small Nuclear 586, Pseudogene
RNU6-587P	q22.1	Plus	chrX	101691580	101691685	Non-protein coding RNA	R U6 Small Nuclear 587, Pseudogene
RNU6-588P	q32	Minus	chr5	149606637	149606741	Non-protein coding RNA	R U6 Small Nuclear 588, Pseudogene
RNU6-589P	q22.1	Minus	chrX	102678707	102678813	Non-protein coding RNA	R U6 Small Nuclear 589, Pseudogene
RNU6-58P	q12.12	Minus	chr13	23217432	23217534	Non-protein coding RNA	R U6 Small Nuclear 58, Pseudogene
RNU6-590P	p13.1	Minus	chr12	13459670	13459776	Non-protein coding RNA	R U6 Small Nuclear 590, Pseudogene
RNU6-591P	p11.4	Minus	chrX	39081180	39081285	Non-protein coding RNA	R U6 Small Nuclear 591, Pseudogene
RNU6-592P	q24.1	Minus	chr11	122579205	122579307	Non-protein coding RNA	R U6 Small Nuclear 592, Pseudogene
RNU6-593P	p15.1	Minus	chr11	17115652	17115763	Non-protein coding RNA	R U6 Small Nuclear 593, Pseudogene
RNU6-595P	q14.1	Minus	chr12	62334091	62334197	Non-protein coding RNA	R U6 Small Nuclear 595, Pseudogene
RNU6-596P	q12.1	Plus	chr8	57289552	57289649	Non-protein coding RNA	R U6 Small Nuclear 596, Pseudogene
RNU6-597P	q23.2	Plus	chr14	63618043	63618144	Non-protein coding RNA	R U6 Small Nuclear 597, Pseudogene
RNU6-598P	p11.23	Minus	chr10	30299569	30299673	Non-protein coding RNA	R U6 Small Nuclear 598, Pseudogene
RNU6-599P	p11.1	Plus	chr9	42863200	42863306	Non-protein coding RNA	R U6 Small Nuclear 599, Pseudogene
RNU6-59P	q12.11	Minus	chr13	21551304	21551410	Non-protein coding RNA	R U6 Small Nuclear 59, Pseudogene
RNU6-5P	q31.1	Minus	chr2	174557966	174558072	Non-protein coding RNA	R U6 Small Nuclear 5, Pseudogene
RNU6-600P	q13.12	Minus	chr12	48892130	48892228	Non-protein coding RNA	R U6 Small Nuclear 600, Pseudogene
RNU6-601P	q23.3	Minus	chr2	149610668	149610774	Non-protein coding RNA	R U6 Small Nuclear 601, Pseudogene
RNU6-602P	q12	Minus	chr14	31662039	31662143	Non-protein coding RNA	R U6 Small Nuclear 602, Pseudogene
RNU6-603P	p21.32	Plus	chr6	32352877	32352983	Non-protein coding RNA	R U6 Small Nuclear 603, Pseudogene
RNU6-604P	q36.1	Plus	chr7	151900275	151900374	Non-protein coding RNA	R U6 Small Nuclear 604, Pseudogene
RNU6-605P	p34.3	Plus	chr1	38926870	38926977	Non-protein coding RNA	R U6 Small Nuclear 605, Pseudogene
RNU6-606P	q14.3	Minus	chr5	87299687	87299797	Non-protein coding RNA	R U6 Small Nuclear 606, Pseudogene
RNU6-607P	p11.23	Plus	chr8	37668898	37669005	Non-protein coding RNA	R U6 Small Nuclear 607, Pseudogene
RNU6-608P	p34.3	Minus	chr1	39120940	39121043	Non-protein coding RNA	R U6 Small Nuclear 608, Pseudogene
RNU6-609P	q32.1	Minus	chr1	200014689	200014795	Non-protein coding RNA	R U6 Small Nuclear 609, Pseudogene
RNU6-60P	q14.2	Plus	chr13	48987915	48988017	Non-protein coding RNA	R U6 Small Nuclear 60, Pseudogene
RNU6-610P	q15.3	Minus	chr15	43637632	43637738	Non-protein coding RNA	R U6 Small Nuclear 610, Pseudogene
RNU6-611P	q13.32	Plus	chr19	45047458	45047561	Non-protein coding RNA	R U6 Small Nuclear 611, Pseudogene
RNU6-612P	p16.1	Plus	chr2	60719640	60719741	Non-protein coding RNA	R U6 Small Nuclear 612, Pseudogene
RNU6-613P	q36.3	Plus	chr2	229894346	229894453	Non-protein coding RNA	R U6 Small Nuclear 613, Pseudogene
RNU6-614P	q11.2	Plus	chr21	13047583	13047689	Non-protein coding RNA	R U6 Small Nuclear 614, Pseudogene
RNU6-615P	q21.22	Plus	chr4	83003412	83003517	Non-protein coding RNA	R U6 Small Nuclear 615, Pseudogene
RNU6-616P	q26.3	Minus	chrX	134918310	134918416	Non-protein coding RNA	R U6 Small Nuclear 616, Pseudogene
RNU6-617P	q21.1	Plus	chr2	131602790	131602896	Non-protein coding RNA	R U6 Small Nuclear 617, Pseudogene
RNU6-618P	p11.21	Plus	chr12	31396390	31396501	Non-protein coding RNA	R U6 Small Nuclear 618, Pseudogene
RNU6-619P	q36.1	Plus	chr2	222498291	222498398	Non-protein coding RNA	R U6 Small Nuclear 619, Pseudogene
RNU6-61P	q31.1	Minus	chr13	80369426	80369534	Non-protein coding RNA	R U6 Small Nuclear 61, Pseudogene
RNU6-620P	q14.3	Plus	chr5	83703448	83703543	Non-protein coding RNA	R U6 Small Nuclear 620, Pseudogene
RNU6-621P	q29	Plus	chr3	197994601	197994709	Non-protein coding RNA	R U6 Small Nuclear 621, Pseudogene
RNU6-622P	p31.1	Plus	chr1	75183045	75183147	Non-protein coding RNA	R U6 Small Nuclear 622, Pseudogene
RNU6-623P	q23.2	Minus	chr17	60662333	60662437	Non-protein coding RNA	R U6 Small Nuclear 623, Pseudogene
RNU6-624P	q36.3	Plus	chr2	228169743	228169849	Non-protein coding RNA	R U6 Small Nuclear 624, Pseudogene
RNU6-625P	q25.3	Plus	chr17	78066947	78067053	Non-protein coding RNA	R U6 Small Nuclear 625, Pseudogene
RNU6-626P	p12.1	Plus	chr6	56945730	56945836	Non-protein coding RNA	R U6 Small Nuclear 626, Pseudogene
RNU6-627P	q24.3	Plus	chr2	163288995	163289096	Non-protein coding RNA	R U6 Small Nuclear 627, Pseudogene
RNU6-628P	q24.13	Plus	chr8	123262843	123262949	Non-protein coding RNA	R U6 Small Nuclear 628, Pseudogene
RNU6-629P	q31.2	Plus	chr2	178038902	178039004	Non-protein coding RNA	R U6 Small Nuclear 629, Pseudogene
RNU6-62P	q32.1	Plus	chr13	95019235	95019336	Non-protein coding RNA	R U6 Small Nuclear 62, Pseudogene
RNU6-630P	p11.4	Minus	chrX	42139425	42139530	Non-protein coding RNA	R U6 Small Nuclear 630, Pseudogene
RNU6-631P	q11.2	Minus	chr15	21866210	21866316	Non-protein coding RNA	R U6 Small Nuclear 631, Pseudogene
RNU6-632P	p12.1	Minus	chr10	25819363	25819426	Non-protein coding RNA	R U6 Small Nuclear 632, Pseudogene
RNU6-633P	p13.13	Plus	chr16	10496272	10496374	Non-protein coding RNA	R U6 Small Nuclear 633, Pseudogene
RNU6-634P	p16.1	Plus	chr2	55499950	55500055	Non-protein coding RNA	R U6 Small Nuclear 634, Pseudogene
RNU6-635P	q24	Plus	chr4	103924540	103924641	Non-protein coding RNA	R U6 Small Nuclear 635, Pseudogene
RNU6-636P	p34.3	Plus	chr1	37203610	37203716	Non-protein coding RNA	R U6 Small Nuclear 636, Pseudogene
RNU6-637P	q26.2	Minus	chr3	169720187	169720293	Non-protein coding RNA	R U6 Small Nuclear 637, Pseudogene
RNU6-638P	q25.3	Minus	chr17	78696694	78696797	Non-protein coding RNA	R U6 Small Nuclear 638, Pseudogene
